web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
28.09.2006,BRA,Bundesrechnungsabschluss für das Jahr 2005,III-234 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/III/III_00234/index.shtml,XXII,XXII_III234dB
21.09.2006,A,"Bundespflegegeldgesetz, Änderung",861/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00861/index.shtml,XXII,XXII_861A
21.09.2006,A,Heizkostenausgleichsfondsgesetz,860/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00860/index.shtml,XXII,XXII_860A
21.09.2006,A,"Familienlastenausgleichsgesetz, Änderung",859/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00859/index.shtml,XXII,XXII_859A
12.09.2006,RV,Familienrechts-Änderungsgesetz 2006,1626 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01626/index.shtml,XXII,XXII_1626dB
12.09.2006,A,"Emissionszertifikategesetz, Änderung",857/A,https://www.parlament.gv.at/PAKT/VHG/XXII/A/A_00857/index.shtml,XXII,XXII_857A
11.09.2006,RV,"Straßenverkehrsordnung, Änderung",1564 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01564/index.shtml,XXII,XXII_1564dB
11.09.2006,RV,"Güterbeförderungsgesetz, Gelegenheitsverkehrs-Gesetz u.a., Änderung",1554 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01554/index.shtml,XXII,XXII_1554dB
27.07.2006,EBR,"Einspruch des Bundesrates betr. Eisenbahngesetz 1957, Bundesbahngesetz u.a., Änderung",1625 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01625/index.shtml,XXII,XXII_1625dB
27.07.2006,EBR,Einspruch des Bundesrates betr. Wasserrechtsgesetznovelle 2006,1624 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01624/index.shtml,XXII,XXII_1624dB
27.07.2006,EBR,Einspruch des Bundesrates betr. Wohnrechtsnovelle 2006,1623 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01623/index.shtml,XXII,XXII_1623dB
27.07.2006,EBR,"Einspruch des Bundesrates betr. Bundesgesetz über die Gesundheit Österreich GmbH; Gesundheitsförderungsgesetz, Änderung",1622 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01622/index.shtml,XXII,XXII_1622dB
27.07.2006,EBR,Einspruch des Bundesrates betr. Gesundheitsrechtsänderungsgesetz 2006,1621 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01621/index.shtml,XXII,XXII_1621dB
27.07.2006,BUA,"Abschlussprüfungs-Qualitätssicherungsgesetz, Änderung",1586 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01586/index.shtml,XXII,XXII_1586dB
27.07.2006,RV,UFSG - Novelle 2006,1567 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01567/index.shtml,XXII,XXII_1567dB
27.07.2006,EBR,Einspruch des Bundesrates betr. Sozialrechts-Änderungsgesetz 2006,1563 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01563/index.shtml,XXII,XXII_1563dB
27.07.2006,EBR,"Einspruch des Bundesrates betr. Konsulargebührengesetz 1992, Änderung",1562 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01562/index.shtml,XXII,XXII_1562dB
27.07.2006,EBR,Einspruch des Bundesrates betr. Sozialversicherungs-Änderungsgesetz 2006,1561 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXII/I/I_01561/index.shtml,XXII,XXII_1561dB
