web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
20.12.2008,RV,"Begründung weiterer Vorbelastungen; Bundesfinanzgesetz, Änderung",266 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00266/index.shtml,XXIII,XXIII_266dB
21.10.2008,RV,"Interbankmarktstärkungsgesetz - IBSG, Finanzmarktstabilitätsgesetz - FinStaG; ÖIAG-Gesetz, Bankwesengesetz u.a., Änderung",682 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00682/index.shtml,XXIII,XXIII_682dB
20.10.2008,EBR,"Einspruch des Bundesrates betr. Kriegsopferversorgungsgesetz, Opferfürsorgegesetz u.a., Änderung",681 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00681/index.shtml,XXIII,XXIII_681dB
20.10.2008,EBR,"Einspruch des Bundesrates betr. Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz u.a., Änderung",680 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00680/index.shtml,XXIII,XXIII_680dB
20.10.2008,RV,Zweites Gewaltschutzgesetz,678 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00678/index.shtml,XXIII,XXIII_678dB
10.10.2008,A,"Kriegsopferversorgungsgesetz, Opferfürsorgegesetz u.a., Änderung",905/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00905/index.shtml,XXIII,XXIII_905A
10.10.2008,A,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz u.a., Änderung",901/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00901/index.shtml,XXIII,XXIII_901A
08.10.2008,RV,"Bundespflegegeldgesetz, Änderung",677 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIII/I/I_00677/index.shtml,XXIII,XXIII_677dB
08.10.2008,A,"Umsatzsteuergesetz 1994, Änderung",924/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00924/index.shtml,XXIII,XXIII_924A
08.10.2008,A,"Einkommensteuergesetz 1988, Änderung",915/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00915/index.shtml,XXIII,XXIII_915A
08.10.2008,A,"Allgemeines Sozialversicherungsgesetz, Beamten-Kranken- und Unfallversicherungsgesetz u.a., Änderung",906/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00906/index.shtml,XXIII,XXIII_906A
08.10.2008,A,"Familienlastenausgleichsgesetz, Änderung",900/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00900/index.shtml,XXIII,XXIII_900A
08.10.2008,A,"Universitätsgesetz, Hochschulgesetz u.a., Änderung",890/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00890/index.shtml,XXIII,XXIII_890A
08.10.2008,A,Sozialrechts-Änderungsgesetz 2008,889/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00889/index.shtml,XXIII,XXIII_889A
08.10.2008,A,"Bundesstraßen-Mautgesetz, Änderung",883/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00883/index.shtml,XXIII,XXIII_883A
25.09.2008,A,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz u.a., Änderung",916/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00916/index.shtml,XXIII,XXIII_916A
25.09.2008,A,"Bundes-Verfassungsgesetz, Änderung",907/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00907/index.shtml,XXIII,XXIII_907A
25.09.2008,A,"Strafgesetzbuch, Änderung",902/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00902/index.shtml,XXIII,XXIII_902A
24.09.2008,A,"Arbeiterkammergesetz, Änderung",917/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00917/index.shtml,XXIII,XXIII_917A
24.09.2008,A,"Umsatzsteuergesetz, Änderung",893/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00893/index.shtml,XXIII,XXIII_893A
24.09.2008,A,"Preisgesetz, Preisauszeichnungsgesetz, Änderung",892/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00892/index.shtml,XXIII,XXIII_892A
24.09.2008,A,"Familienlastenausgleichsgesetz, Änderung",888/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00888/index.shtml,XXIII,XXIII_888A
24.09.2008,A,"Staatsbürgerschaftsänderungsgesetz, Änderung",735/A und Zu 735/A,https://www.parlament.gv.at/PAKT/VHG/XXIII/A/A_00735/index.shtml,XXIII,XXIII_735AundZu735A
