web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
29.09.2014,A,"Bundes-Verfassungsgesetz (B-VG), Bundesgesetz über Geschäftsordnung des Nationalrates, Nationalrats-Wahlordnung 1992, Bundespräsidentenwahlgesetz 1971, Europawahlordnung, Europa-Wählerevidenzgesetz, Volksabstimmungsgesetz 1972 und Volksbefragungsgesetz",2177/A,https://www.parlament.gv.at/PAKT/VHG/XXIV/A/A_02177/index.shtml,XXIV,XXIV_2177A
15.07.2014,BRA,Bundesrechnungsabschluss für das Jahr 2012,III-439 d.B. und Zu III-439 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/III/III_00439/index.shtml,XXIV,XXIV_III439dBundZuIII439dB
28.10.2013,BRA,Bundesrechnungsabschluss für das Jahr 2012 (Voranschlagsvergleichsrechnung Stand 31. März 2013),III-406 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/III/III_00406/index.shtml,XXIV,XXIV_III406dB
18.09.2013,A,Dienstrechts-Novelle 2013 - Pädagogischer Dienst,2376/A,https://www.parlament.gv.at/PAKT/VHG/XXIV/A/A_02376/index.shtml,XXIV,XXIV_2376A
17.09.2013,A,"Geschäftsordnungsgesetz, Änderung",2226/A,https://www.parlament.gv.at/PAKT/VHG/XXIV/A/A_02226/index.shtml,XXIV,XXIV_2226A
18.07.2013,BUA,"FNG-Anpassungsgesetz, Fremdenbehördenneustrukturierungsgesetz u.a., Änderung",2548 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02548/index.shtml,XXIV,XXIV_2548dB
18.07.2013,RV,"Arzneimittelgesetz, Arzneiwareneinfuhrgesetz 2010 u.a., Änderung",2446 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02446/index.shtml,XXIV,XXIV_2446dB
18.07.2013,RV,"Gesundheitsberuferegister-Gesetz; Gesundheits- und Krankenpflegegesetz, Änderung",2445 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02445/index.shtml,XXIV,XXIV_2445dB
18.07.2013,RV,"GuKG-Novelle 2013, MTD-Gesetz-Novelle 2013",2444 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02444/index.shtml,XXIV,XXIV_2444dB
18.07.2013,RV,Schifffahrtsrechtsnovelle 2013,2443 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02443/index.shtml,XXIV,XXIV_2443dB
18.07.2013,RV,"Holzhandelsüberwachungsgesetz, BFW-Gesetz, Änderung",2442 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02442/index.shtml,XXIV,XXIV_2442dB
18.07.2013,RV,"Verwaltungsgerichtsbarkeits-Anpassungsgesetz-BMLFUW, Änderung",2441 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02441/index.shtml,XXIV,XXIV_2441dB
18.07.2013,RV,"Finanzausgleichsgesetz 2008, Katastrophenfondsgesetz 1996, Änderung",2440 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02440/index.shtml,XXIV,XXIV_2440dB
18.07.2013,RV,"Bundesgesetz über die Errichtung des Staatsschuldenausschusses, Änderung",2439 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXIV/I/I_02439/index.shtml,XXIV,XXIV_2439dB
