web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
25.10.2017,RV,"Bankwesengesetz, Investmentfondsgesetz u.a., Änderung",1775 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01775/index.shtml,XXV,XXV_1775dB
25.10.2017,RV,"Bankwesengesetz, Bundesgesetz über die Wertpapier- u. allgemeinen Warenbörsen u.a., Änderung",1774 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01774/index.shtml,XXV,XXV_1774dB
25.10.2017,RV,Pensionsanpassungsgesetz 2018 – PAG 2018,1767 d.B.,https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_01767/index.shtml,XXV,XXV_1767dB
25.10.2017,A,"Behinderteneinstellungsgesetz, Bundes-Behindertengleichstellungsgesetz u.a., Änderung",2309/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02309/index.shtml,XXV,XXV_2309A
25.10.2017,A,"Freiwilligengesetz, Familienlastenausgleichsgesetz, Änderung",2308/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02308/index.shtml,XXV,XXV_2308A
25.10.2017,A,"Kriegsopferversorgungsgesetz, Opferfürsorgegesetz u.a., Änderung",2307/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02307/index.shtml,XXV,XXV_2307A
25.10.2017,A,"Angestelltengesetz, Gutangestelltengesetz u.a., Änderung",2306/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02306/index.shtml,XXV,XXV_2306A
25.10.2017,A,"Insolvenz-Entgeltsicherungsgesetz, Berufsausbildungsgesetz, Änderung",2304/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02304/index.shtml,XXV,XXV_2304A
25.10.2017,A,"Gebührengesetz 1957, Änderung",2299/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02299/index.shtml,XXV,XXV_2299A
25.10.2017,A,"Tierschutzgesetz, Änderung",2286/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02286/index.shtml,XXV,XXV_2286A
25.10.2017,A,"Verbraucherzahlungskontogesetz, Änderung",2284/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_02284/index.shtml,XXV,XXV_2284A
25.10.2017,A,"Arbeitslosenversicherungsgesetz, Änderung",1366/A,https://www.parlament.gv.at/PAKT/VHG/XXV/A/A_01366/index.shtml,XXV,XXV_1366A
